YearMonth,CrimeCount,AvgTemp
2015-11,4852,62.1
2015-12,5283,54.17741935483871
2016-01,5340,55.66129032258065
2016-02,4745,65.72413793103448
2016-03,5109,69.48387096774194
2016-04,5278,73.48333333333333
2016-05,5259,79.90322580645162
2016-06,5269,94.78333333333333
2016-07,5160,97.12903225806451
2016-08,5473,91.87096774193549
2016-09,5275,86.58333333333333
2016-10,5361,80.96774193548387
2016-11,5292,67.23333333333333
2016-12,5712,57.88709677419355
2017-01,5596,55.08064516129032
2017-02,5048,61.910714285714285
2017-03,5404,70.66129032258064
2017-04,5344,75.26666666666667
2017-05,5691,81.8225806451613
2017-06,5537,94.65
2017-07,5690,95.0
2017-08,5703,94.0
2017-09,5341,87.85
2017-10,5799,80.48387096774194
2017-11,5412,71.18333333333334
2017-12,5531,59.11290322580645
2018-01,5982,61.17741935483871
2018-02,4861,59.75
2018-03,5228,66.83870967741936
2018-04,5106,77.43333333333334
2018-05,5522,83.51612903225806
2018-06,5119,92.35
2018-07,5271,96.53225806451613
2018-08,5594,94.03225806451613
2018-09,5490,91.85
2018-10,5706,73.75806451612904
2018-11,5413,63.8
2018-12,5640,55.74193548387097
2019-01,5662,56.0
2019-02,5183,54.125
2019-03,5691,65.61290322580645
2019-04,5784,75.26666666666667
2019-05,6179,76.24193548387096
2019-06,5802,91.06666666666666
2019-07,5690,96.6774193548387
2019-08,5783,96.79032258064517
2019-09,5609,89.11666666666666
2019-10,5979,75.75806451612904
2019-11,5569,66.43333333333334
2019-12,5907,56.064516129032256
2020-01,6024,56.83870967741935
2020-02,5582,58.94827586206897
2020-03,5850,64.38709677419355
2020-04,5509,74.21666666666667
2020-05,5433,86.1774193548387
2020-06,4551,92.03333333333333
2020-07,4635,98.93548387096774
2020-08,5127,99.06451612903226
2020-09,4977,91.51666666666667
2020-10,5706,80.87096774193549
2020-11,5497,67.75
2020-12,5956,55.774193548387096
2021-01,5637,56.274193548387096
2021-02,5385,60.964285714285715
2021-03,5604,64.12903225806451
2021-04,4841,76.66666666666667
2021-05,5272,83.12903225806451
2021-06,5102,95.33333333333333
2021-07,5460,93.6774193548387
2021-08,5373,92.56451612903226
2021-09,5343,89.21666666666667
2021-10,5603,74.7741935483871
2021-11,5401,70.13333333333334
2021-12,5412,59.193548387096776
2022-01,5495,57.74193548387097
2022-02,5061,59.142857142857146
2022-03,5837,66.91935483870968
2022-04,5443,76.2
2022-05,5579,84.12903225806451
2022-06,5242,94.21666666666667
2022-07,5109,96.74193548387096
2022-08,5249,93.33870967741936
2022-09,4936,91.1
2022-10,5020,77.40322580645162
2022-11,4602,60.2
2022-12,4849,55.5
2023-01,4882,53.88709677419355
2023-02,4327,57.125
2023-03,4754,61.83870967741935
2023-04,4628,74.25
2023-05,4825,83.2741935483871
2023-06,4718,89.45
2023-07,4663,102.58571428571429
2023-08,4714,98.30172413793103
2023-09,4698,90.55
2023-10,4678,80.74193548387096
2023-11,4615,68.8
2023-12,4644,60.0
2024-01,4763,55.354838709677416
2024-02,4474,60.724137931034484
2024-03,4660,64.76923076923077
